player,position,team,age,games played,minutes per game,% of game,% of team plays,turnover per possession,attempted free throws,free throw %,2-point shots attempted,2-point field goal %,3-point shots attempted,3-point shot field goal %,true shooting %,points per game,rebounds per game,total rebound %,assists per game,assist %,steals per game,blocks per game,versatility index
Aron Baynes,center,San,28,4,10,20.9,16,0.209,3,1,10,0.3,0,0,0.398,2.3,2.5,13.3,0.3,3.5,0,0,4.8
Arron Afflalo,shooting guard,Por,29,3,20,41.6,11.8,0.194,1,0,8,0.125,4,0.25,0.201,1.7,2.3,6.3,0.7,5,0,0,2.8
Austin Rivers,point guard,Lac,22,14,17.9,37.2,21.7,0.096,19,0.632,70,0.471,35,0.371,0.516,8.4,1.7,5,1.1,10.1,0.71,0.29,5.6
Avery Bradley,shooting guard,Bos,24,4,33.3,69.3,18.8,0.053,7,0.857,31,0.452,19,0.263,0.462,12.3,3.8,6.2,0.8,3.9,0.75,0,4
Beno Udrih,point guard,Mem,32,10,17.5,36.5,21.5,0.049,12,0.833,57,0.474,16,0.25,0.485,7.6,2,6.3,2.1,21.1,0.5,0,7.3
Blake Griffin,power forward,Lac,25,14,39.8,82.9,28.5,0.123,106,0.717,267,0.521,7,0.143,0.557,25.5,12.7,16.8,6.1,27.3,1,1,12.6
Bojan Bogdanovic,small forward,Bro,25,6,34.3,71.6,15.6,0.114,7,0.714,26,0.462,33,0.333,0.499,10.3,3.8,6,1.7,7.7,0.67,0.33,4.7
Boris Diaw,power forward,San,32,7,28.3,58.9,19.4,0.105,13,0.692,53,0.566,18,0.222,0.528,11.6,6.1,11.6,3.6,20.6,0.71,0.43,9
Bradley Beal,shooting guard,Was,21,10,41.8,87,26.7,0.103,59,0.831,137,0.423,63,0.365,0.518,23.4,5.5,7.1,4.6,19.1,1.6,0.7,8
Brandon Bass,power forward,Bos,29,4,21.5,44.7,14.3,0.109,10,0.6,20,0.35,0,0,0.41,5,2,5.1,2.5,18.1,0.25,0.75,5.4
Brook Lopez,center,Bro,26,6,38.9,81.1,21.7,0.054,40,0.825,87,0.494,0,0,0.569,19.8,9,12.5,0.8,3.8,0.67,2.17,5.4
Chandler Parsons,small forward,Dal,26,1,36.8,76.6,17.8,0.063,0,0,11,0.455,4,0,0.333,10,6,8.4,2,7.4,0,0,5.4
Charlie Villanueva,power forward,Dal,30,5,8.7,18.1,23.6,0,0,0,6,0.5,19,0.421,0.6,6,2.6,15.4,0.6,11.3,0.2,0.2,9.7
Chris Kaman,center,Por,32,3,12.4,25.7,14.2,0.262,1,1,8,0.5,0,0,0.533,3,4.7,20.4,1,13.8,0,0,7.8
Chris Paul,point guard,Lac,29,12,37.1,77.2,23.2,0.11,51,0.941,124,0.548,65,0.415,0.627,22.1,4.4,6.3,8.8,39.1,1.83,0.25,10.2
CJ McCollum,shooting guard,Por,23,5,33.2,69.2,21.7,0.076,13,0.769,44,0.477,23,0.478,0.584,17,4,6.5,0.4,2.4,1.2,0.2,3.6
Clint Capela,center,Hou,20,17,7.5,15.6,15.4,0.064,29,0.517,31,0.677,0,0,0.651,3.4,2.5,17.2,0.3,6.4,0.18,0.53,7.3
Corey Brewer,small forward,Hou,28,17,25.2,52.4,20.1,0.073,55,0.636,125,0.48,42,0.286,0.499,11.2,2.8,5.7,1.1,7.3,0.65,0.24,5.2
Cory Joseph,point guard,San,23,4,5.4,11.3,16.3,0.127,2,0.5,6,0.833,0,0,0.799,2.8,0.3,2.5,0,0,0,0.25,0
Courtney Lee,shooting guard,Mem,29,11,33.4,69.5,15.3,0.106,23,0.957,70,0.586,30,0.467,0.663,13.3,2.5,4.2,2.2,11,1.09,0,5
Damian Lillard,point guard,Por,24,5,40.2,83.8,27.8,0.098,32,0.781,65,0.523,31,0.161,0.491,21.6,4,5.4,4.6,22.8,0.4,0.6,7.3
Danny Green,shooting guard,San,27,7,29.1,60.6,15.1,0.073,6,0.667,21,0.429,40,0.3,0.456,8.3,3.1,5.8,2.1,10.8,1,1,5.2
Dante Cunningham,power forward,Nor,27,4,18.8,39.2,7.5,0,3,1,11,0.818,0,0,0.852,5.3,4.5,13.3,0.5,4.1,0.75,1,4.9
David Lee,power forward,Gol,31,13,8.2,17.1,20.4,0.041,15,0.533,40,0.4,0,0,0.429,3.1,2.6,17.4,0.6,11.8,0.23,0.15,8.2
DeAndre Jordan,center,Lac,26,14,34.5,71.8,15,0.102,157,0.427,81,0.716,0,0,0.61,13.1,13.4,20.4,1.1,4.8,1.14,2.36,6.7
DeMar DeRozan,shooting guard,Tor,25,4,39.7,82.6,27.6,0.103,17,0.824,72,0.403,8,0.375,0.463,20.3,6.3,8.9,5.8,26.6,1.5,0,9.1
DeMarre Carroll,small forward,Atl,28,16,34.9,72.7,17.1,0.071,41,0.78,105,0.543,72,0.403,0.597,14.6,6.1,9.3,2,9.5,1.13,0.31,6.4
Dennis Schroder,point guard,Atl,21,16,18.1,37.8,28.9,0.146,28,0.857,111,0.432,34,0.235,0.458,9,1.8,5.3,3.9,37.8,0.56,0,8.8
Deron Williams,point guard,Bro,30,6,32,66.7,21,0.182,7,0.857,43,0.372,26,0.423,0.493,11.8,6.2,10.4,5.5,28.6,1.33,0,9.2
Derrick Rose,point guard,Chi,26,12,37.8,78.7,29.1,0.131,39,0.897,169,0.414,66,0.348,0.484,20.3,4.8,7,6.5,33.5,1.17,0.5,9.1
Devin Harris,point guard,Dal,31,4,18.4,38.3,17.2,0.129,9,0.889,12,0.667,11,0,0.445,6,2,5.6,1,7.2,0.5,0,5
